Mitomycin Antineoplastic Antibiotic|C663|||Anal cancer; Bladder cancer; Breast cancer; Bronchogenic cancer; Cervical cancer; Colorectal cancer; Esophageal cancer; Gastric carcinoma; Head and neck cancer; Liver cancer; Pancreatic carcinoma; Pterygia|
Mitotane|C664|||Adrenocortical carcinoma|
Mitoxantrone Hydrochloride|C665|||Acute Leukemia; Breast cancer; Non Hodgkins Lymphoma; Multiple sclerosis; Prostate cancer|
Modafinil|C26661|||Narcolepsy|
Mometasone Furoate|C29268|||Sinusitis|
Moxifloxacin Hydrochloride|C38696|||Various bacterial infections; Bacterial Conjunctivitis|
Multivitamin|C1654|||Vitamin supplement|
Muromonab-CD3|C1321|||Allograft rejection|
Mycophenolate Mofetil|C1468|||Heart transplantation; Kidney transplantation; Liver transplantation; Lupus nephritis|
Mycophenolic Acid|C673|||Prophylaxis of organ rejection after allogenic renal; cardiac; or hepatic transplants; psoriasis|
Nandrolone Decanoate|C1172|||Anemia of renal insufficiency; Metastatic Breast Cancer|
Natalizumab|C77862|||multiple sclerosis, Crohn's disease|
Nelarabine|C1704|||T-cell Acute Lymphoblastic Leukemia; T-cell Lymphoblastic Lymphoma|
Nelotanserin|C83996|||Insomnia|
Nesbuvir|C76498|||Treatment of Hepatitis C|
Niacinamide|C2327|||Pellegra, treatment and prophylaxis; Various dermatologic conditions|
Nicotine|C691|||Smoking Cessation|
Nilotinib|C48375|||Chronic myeloid leukemia; Philadelphia chromosome-positive acute lymphoblastic leukemia|
Nimotuzumab|C2733|||Glioma|
Nitroglycerin|C29294|||Anal Fissure and Fistula|
Nonsteroidal Antiinflammatory Drug|C257|||Inflammation|
Norgestrel|C703|||Oral contraception|
Nortriptyline Hydrochloride|C704|||Depression|
Obeticholic Acid|C80837|||Treatment of primary biliary cirrhosis|
Octreotide|C711|||Acromegaly; Diarrhea|
Octreotide Acetate|C53447|||Acromegaly; Diarrhea|
Ofloxacin|C712|||Various bacterial infections|
Omega-3 Fatty Acid|C493|||Hypertrygliceridemia|
Ondansetron|C1119|||Nausea and vomiting prophylaxis, chemotherapy-induced and postoperative|
Ondansetron Hydrochloride|C48007|||Nausea and vomiting prophylaxis, chemotherapy-induced and postoperative|
Oprelvekin|C1303|||Chemotherapy-related thrombocytopenia|
Oregovomab|C1784|||Epithelial ovarian cancer|
Orvepitant|C90613|||Treatment of depression, anxiety and insomnia|
Otelixizumab|C95790|||Type 1 diabetes and psoriasis|
Oxaliplatin|C1181|||Metastatic colorectal cancer; ovarian cancer|
Oxandrolone|C29306|||Bone pain; Duchenne's and Becker muscular dystrophy; HIV-associated muscle weakness; Wasting syndrome, treatment including HIV-related|
Paclitaxel|C1411|||AIDS-related Kaposi's sarcoma; Bladder cancer; Breast cancer; Cervical cancer; Endometrial adenocarcinoma; Esophageal cancer; Head and Neck cancer; Lung cancer; non-small cell; Lymphoma; Ovarian cancer; Prostate cancer; Testicular cancer|
Paclitaxel Albumin-Stabilized Nanoparticle Formulation|C2688|||Metastatic breast cancer|
Palifermin|C2455|||Severe oral mucositis with hematologic malignancies, chemotherapy- and radiotherapy-induced|
Paliperidone|C66293|||Schizophrenia; psychotic conditions related to dementia|
Palladium Pd-103|C2550|||Early Stage Prostate Cancer; Localized Tumours of the Head, Neck, Lung, Pancreas, Breast, Intraocular and Uterus.|
Palonosetron Hydrochloride|C47650|||prevention of chemotherapy-induced nausea and vomiting|
Pamidronate Disodium|C1345|||Hypercalcemia of malignancy; Osteolytic bone lesions of multiple myeloma; Osteolytic bone metastases of breast cancer; Pagets disease|
Pancreatic Enzyme|C18296|||Enzyme replacement; Pancreatic function, presumptive test|
Pancrelipase|C29345|||exocrine pancreatic insufficiency; pancreatic enzyme deficiency|
Panitumumab|C1857|||Advanced Stage Colorectal Cancer|
Papaverine|C726|||Ischemia, cerebral and peripheral|
Paricalcitol|C38693|||Secondary hyperparathyroidism, prevention and treatment|
Paroxetine Hydrochloride|C1837|||Depression|
Pegfilgrastim|C1854|||Chemotherapy-induced neutropenia|
Peginterferon Alfa-2a|C33987|||Chronic hepatitis C; renal cell carcinoma; advanced melanoma; chronic myelogenous leukaemia|
Peginterferon Alfa-2b|C1845|||chronic hepatitis C; renal cell carcinoma|
Pegylated Interferon Alfa|C2491|||Hepatitis C.|
Pegylated Liposomal Doxorubicin Hydrochloride|C1555|||Refractory metastatic carcinoma of the ovary; AIDS-related Kaposi's sarcoma; breast cancer; relapsed/refractory multiple myeloma (with bortezomib).|
Pemetrexed Disodium|C1533|||Malignant pleural mesothelioma; Non-small cell lung cancer|
Penicillamine|C729|||Wilsons disease; heavy metal intoxication; cystinuria; rheumatoid arthritis; primary biliary cirrhosis; Feltys syndrome; rheumatoid vasculitis|
Pentostatin|C732|||Chronic lymphocytic leukemia; Cutaneous t-cell lymphoma; Hairy cell leukemia|
Perfosfamide|C1423|||Ex-vivo treatment of autologous bone marrow and subsequent reinfusion in patients with acute myelogenous leukemia|
Phentolamine Mesylate|C38691|||Dermal necrosis; Hypertensive-associated episodes with pheochromocytoma, prevention or control|
Phenyl Acetate|C1501|||Adjunctive therapy for the prevention and treatment of hyperammonemia in the chronic management of patients with urea cycle enzymopathy|
Pixantrone Dimaleate|C82398|||non-Hodgkin's lyphoma|
Plerixafor|C1777|||Hematopoietic Stem Cell Mobilization|
Pneumococcal 7-Valent Conjugate Vaccine|C38141|||Pneumococcal Prophylaxis|
Pneumococcal Polyvalent Vaccine|C1643|||Pneumococcal Prophylaxis|
Polifeprosan 20 with Carmustine Implant|C2487|||Malignant glioma, adjuvant to surgery and radiation; Recurrent glioblastoma multiforme, adjuvant to surgery|
Ponezumab|C97941|||Treatment of Alzheimer's disease|
Porfimer Sodium|C1071|||Photosensitizer, bladder, esophagel, gastric, lung and rectal cancer|
Posaconazole|C61500|||Fungal Infection Prevention for Immunocompromised Host|
Prasterone|C2265|||Adrenal insufficiency, replacement; Systemic lupus erythematosus, treatment and steroid treatment reduction|
Prednisolone|C769|||Inflammatory conditions; Allergic conditions; Hematologic conditions; Neoplastic conditions; Autoimmune conditions; Replacement therapy in adrenal insufficiency|
Prednisone|C770|||Inflammatory conditions; Allergic conditions; Hematologic conditions; Neoplastic conditions; Autoimmune conditions; Replacement therapy in adrenal insufficiency|
Procarbazine Hydrochloride|C773|||Brain tumors; Hodgkins diseases; Non-Hodgkins lymphoma|
Prochlorperazine|C774|||Anxiety; Dizziness; Nausea and vomiting management; Psychosis|
Propoxyphene Hydrochloride|C29385|||extravasation resulting from intravenous anthracycline chemotherapy.|
Psoralen|C2586|||Psoriasis; T-cell Lymphoma-Cutaneous; Vitiligo|
Raloxifene|C1518|||Breast cancer; Cardiovascular Disease prophylaxis; Osteoporosis|
Raloxifene Hydrochloride|C1762|||Breast cancer prevention|
Rasburicase|C2404|||Chemotherapy-induced acute hyperuricemia, treatment and prophylaxis|
Recombinant Adenovirus-p53 SCH-58500|C2423|||Primary ovarian cancer|
Recombinant Granulocyte Colony-Stimulating Factor|C1287|||Neutropenia|
Recombinant Interferon Alfa|C225|||See specific agents.|
Recombinant Interferon Alfa-2a|C1952|||Chronic phase Philadelphia chromosome-positive chronic myelogenous leukemia; hairy cell leukemia; chronic hepatitis C; AIDs-related Kaposis sarcoma; bladder; ovarian; cervical cancer; non-Hodgkins lymphoma; renal cell carcinoma; melanoma.|
Recombinant Interferon Gamma|C583|||Chronic granulomatous disease; Osteopetrosis|
Recombinant Interleukin-2|C587|||Colorectal cancer; metastatic melanoma; metastatic renal cell carcinoma; Non-Hodgkins lymphoma|
Recombinant Leukocyte Interleukin|C2413|||neoadjuvant therapy for patients with squamous cell carcinoma of the head and neck|
Remestemcel-L|C67082|||Immunomodulator, anti-inflammatory, tissue protectant|
Retinyl Acetate|C1216|||Dietary supplement; vitamin A deficiency|
Retinyl Palmitate|C1217|||Dietary supplement; vitamin A deficiency; reduction in falciparum malaria episodes in children older than 12 months old; acne; diminishing malignant cell growth; enhancing the immune system; reduction in mortality of HIV-infected children|
Rifabutin|C1408|||Prevention and treatment of Mycobacterium avium complex (MAC) and tuberculosis in patients with HIV infection|
Rifamycin|C29406|||Treatment of traveler's diarrhea|
Rifamycin Sodium|C95605|||Treatment of traveler's diarrhea|
Rimabotulinumtoxinb|C87453|||Treatment of cervical dystonia|
Rindopepimut|C69076|||Immunotherapy for glioblastoma multiforme|
Risedronate Sodium|C1528|||Osteoporosis, treatment and prevention; Pagets disease|
Rituximab|C1702|||Diffuse Large B-cell, CD20-positive, Non-Hodgkins Lymphoma|
Rivaroxaban|C77995|||Deep Vein Thrombosis Prophylaxis|
Rivastigmine Tartrate|C47707|||Alzheimer's disease; dementia associated with Parkinson's disease|
Rofecoxib|C1832|||Pain; dysmenorrhea; osteoarthritis; rheumatoid arthritis|
Romiplostim|C52183|||chronic immune thrombocytopenic purpura|
Rontalizumab|C95794|||Treatment of systemic lupus erythematosus|
Rosiglitazone Maleate|C2583|||Non-Insulin-Dependent Diabetes Mellitus and Type II Diabetes Mellitus|
Rosiglitazone Maleate|C2583|||Type 2 diabetes|
Rubitecan|C1485|||AIDs, pediatric; HIV infection, pediatric|
Rufinamide|C75167|||treat children with Lennox-Gastaut syndrome|
Sacrosidase|C66525|||congenital sucrase-isomaltase deficiency (CSID)|
Sargramostim|C1492|||Melanoma; Neutropenia-chemotherapy induced|
Selenium|C825|||Dandruff; Psoriasis; Seborrheic dermatitis; Tinea capitis; Tinea versicolor|
Sertraline Hydrochloride|C29451|||Major depressive disorder; Obsessive-compulsive disorder; Panic disorder; Posttraumatic stress disorder; Premenstrual dysphoric disorder; Social phobia|
Sevelamer Hydrochloride|C66538|||Hyperphosphatemia of Renal Failure|
Sildenafil Citrate|C26670|||Erectile dysfunction|
Silymarin|C26671|||Nutritional supplement for liver damage induced by chemicals or toxins|
Siplizumab|C38685|||T-cell lymphoma|
Sirolimus|C1212|||Kidney transplant rejection, prevention|
Sodium Phenylbutyrate|C1440|||Adjunctive therapy for urea cycle disorders involving deficiencies of carbamoylphosphate synthetase; ornithine transcarbamylase; or argininosuccinic acid synthetase; S-S and S-C sickle cell disease; S-thalassemia hemoglobinopathy|
Sodium Salicylate|C834|||Fever; Inflammatory conditions; Pain|
Sodium Thiosulfate|C1230|||Cisplatin-induced nephrotoxicity; Nitrogen mustard-induced skin toxicity, neutralizer; Poisoning, arsenic and cyanide|
Sorafenib Tosylate|C2194|||Advanced renal cell carcinoma; Metastatic Colorectal Cancer|
Sorafenib Tosylate|C2194|||Major Depressive Disorder|
Soy Protein Isolate|C1803|||Heart disease prevention; hyperlipidemia; menopausal symptoms|
Streptozocin|C845|||Carcinoid tumor and syndrome; Colorectal cancer, palliative; Hodgkin's disease; Metastatic islet cell carcinoma of the pancreas|
Strontium Chloride Sr-89|C1238|||Palliation of pain in bone metastases|
Sulindac|C850|||Arthritis; inflammatory conditions|
Sunitinib Malate|C26673|||Gastrointestinal Stromal Tumor; Advanced Metastatic Renal Cell Carcinoma|
Suramin|C853|||Trypanosomiasis; hormone-refractory prostate cancer|
Suramin Sodium|C1848|||African trypanosomiasis; onchocerciasis|
Synthetic Human Papillomavirus 16 E6 Peptide|C38726|||Cervical cancer vaccine (TA-HPV) component|
Tacrolimus|C1311|||Atopic dermatitis; Kidney transplant rejection, prophylaxis; Liver transplant rejection, prophylaxis|
Talactoferrin Alfa|C78460|||renal cell carcinoma|
Talc|C854|||Malignant pleural effusion; Pneumothorax|
Tamoxifen Citrate|C855|||Breast cancer; Endometrial cancer; Gynecomastia; Melanoma; Ovarian cancer|
Taurolidine|C2639|||Bronchiectasis; Catheter-Related Sepsis; Otitis Media; Peritonitis; Thoracic Empyema|
Tazarotene|C29487|||Topical treatment of facial acne vulgaris; stable plaque psoriasis; mitigation (palliation) of facial fine wrinkling; facial mottled hyper- and hypopigmentation; benign facial lentigines|
Technetium Tc-99m Sulfur Colloid|C856|||Diagnostic imaging|
Telbivudine|C66584|||Chronic Hepatitis B|
Telotristat Etiprate|C81941|||Carcinoid Syndrome, Ulcerative Colitis|
Temozolomide|C1244|||Malignant glioma (Anaplastic astrocytoma; Anaplastic oligodendrogliomas; Anaplastic oligoastrocytomas; Glioblastoma multiforme); Metastatic melanoma|
Temsirolimus|C1844|||Advanced renal cell carcinoma|
Temsirolimus|C1844|||Renal Cell Carcinoma|
Teprotumumab|C95797|||Treatment of solid and hematologic tumors|
Tesamorelin|C77425|||Reduction of Excess Abdominal Fat in HIV-Infected Patients with Lipodystrophy|
Testosterone Enanthate|C1247|||Male Hypogonadotrophic Hypogonadism; Delayed Puberty-Male and Primary Hypogonadism.|
Testosterone Gel|C74081|||Hypogonadism -- Male|
Tetanus Toxoid Aluminum Phosphate Adsorbed Vaccine|C2814|||Tetanus Prophylaxis|
Tetanus Toxoid Vaccine|C2660|||Tetanus Prophylaxis|
Thalidomide|C870|||Aphthous stomatitis; Crohns disease; cutaneous manifestations of erythema nodosum leprosum; GVHD; HIV-associated wasting syndrome; Karposi sarcoma; lepromatous leprosy; multiple myeloma; mycobacterium tuberculosis and nontuberculosis; primary brain tumors|
Therapeutic Corticosteroid|C211|||Inflammation|
Therapeutic Cortisone|C395|||Adrenocortical insufficiency; inflammatory conditions|
Therapeutic Melatonin|C632|||Sleep disorders in blind people with no light perception|
Therapeutic Progesterone|C777|||Amenorrhea; Functional uterine bleeding; Infertility; Maintenance of pregnancy|
Therapeutic Testosterone|C862|||Delayed puberty, male; Hypogonadism; Metastatic mammary cancer|
Thioguanine|C876|||Acute nonlymphocytic leukemia|
Thiotepa|C875|||Bladder cancer; Breast cancer; Ovarian cancer; Hodgkins lymphoma; Non-hodgkins lymphoma|
Thrombin Alfa|C29499|||Hemostasis During Surgery|
Ticagrelor|C76404|||Acute Coronary Syndrome|
Tigecycline|C72865|||Community-Acquired Bacterial Pneumonia|
Tinzaparin Sodium|C60810|||Treatment of acute symptomatic deep venous thrombosis (DVT) with or without a pulmonary embolism (PE), in conjunction with warfarin.|
Topotecan Hydrochloride|C2828|||Small Cell Lung Carcinoma; Cervical Cancer|
Toremifene|C1256|||Breast cancer; Desmoid tumors|
Tositumomab|C2543|||CD20 Positive Follicular Non-Hodgkins Lymphoma Refractory to Rituximab|
Trastuzumab|C1647|||Breast cancer overexpressing HER2 protein; Pancreatic cancer overexpressing p185HER2|
Tretinoin|C900|||(Oral) Acute promyelocytic leukemia (APL), characterized by the t(15;17) translocation or the PML/RARa gene refractory to or have relapsed from anthracycline chemotherapy, or for where anthracycline-based chemotherapy is contraindicated|
Tretinoin|C900|||(Topical) acne vulgaris; other dermatologic conditions; some skin cancers|
Trimethoprim-Sulfamethoxazole|C909|||Pneumocystis carinii pneumonia; Various bacterial infections|
Trimetrexate Glucuronate|C1265|||Head and neck cancer; Metastatic colorectal adenocarcinoma; Non-small cell lung cancer; Osteogenic sarcoma; Pancreatic adenocarcinoma; Pneumocystitis carinii pneumonia|
Triptorelin|C1267|||Palliative treatment prostate carcinoma|
Trivalent Influenza Vaccine|C2643|||Influenza Prophylaxis|
Tropisetron|C1131|||Chemotherapy-induced nausea and vomiting|
Tumor Infiltrating Lymphocyte|C12546|||Adoptive immunotherapy|
Udenafil|C74086|||erectile dysfunction|
Uridine Triacetate|C2379|||Mitochondrial disease|
Ursodiol|C1818|||Gallstone disolution; Primary biliary cirrhosis|
Valdecoxib|C1869|||Osteoarthritis; rheumatoid arthritis; dysmenorrhea|
Valganciclovir|C2629|||Cytomegalovirus retinitis|
Valproic Acid|C29536|||Epilepsy; Mania; Migraine|
Vedolizumab|C95798|||Treatment of ulcerative colitis and Crohn's disease|
Vemurafenib|C64768|||Advanced Melanoma|
Venlafaxine|C1278|||Anxiety; Depression|
Verteporfin|C1014|||Photosensitizer, subfoveal choroidal neovascularization|
Vilazodone Hydrochloride|C90717|||Major Depressive Disorder|
Vinblastine|C930|||Bladder cancer; Breast cancer; Choriocarcinoma; Germ cell tumors; Idiopathic thrombocytopenic purpura; Kaposi sarcoma; Letterer-Siwe disease; Various Lymphomas; Melanoma; Mycosis fungoides; Prostate cancer; Testicular cancer|
Vincristine|C933|||Acute leukemia; Brain tumors; Chronic lymphocytic leukemia; Gestational trophoblastic neoplasms; Head and Neck squamous cell carcinoma; Kaposis sarcoma; Liver cancer;|
Vincristine|C933|||Lymphoma, Hodgkins, Non-Hodgkins; Malignant thymoma; Multiple myeloma; Osteogenic sarcoma; Ovarian cancer; Pheochromocytoma; Retinoblastoma; Rhabdomyosarcoma; Soft tissue sarcoma; Testicular cancer; Wilms tumor|
Vincristine Sulfate|C1739|||Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Neuroblastoma|
Vincristine Sulfate Liposome|C2702|||acute lymphoblastic leukemia (ALL)|
Vinorelbine|C1275|||Breast cancer; Cervical cancer; Non-small cell lung cancer; Ovarian cancer; Prostate cancer|
Vinorelbine Tartrate|C1395|||Non-small cell lung cancer; metastatic breast cancer; uterine and cervical cancer; desmoid tumors; advanced Kaposi's sarcoma|
Vismodegib|C74038|||basal cell carcinoma|
Vitamin A Compound|C938|||Dietary supplement; treatment of vitamin A deficiency; reduction in falciparum malaria episodes in children older than 12 months of age; acne; diminishing malignant cell growth; enhancing the immune system; reduction in mortality of HIV-infected children|
Voriconazole|C1707|||Aspergillosis, invasive; Esophageal candidiasis; Fungal infections, non-aspergillosis|
Vorinostat|C1796|||Cutaneous T-cell Lymphoma|
Warfarin|C945|||Pulmonary embolism and thromboembolic disorders, treatment and prophylaxis; Venous thrombosis, prophylaxis and treatment|
Yttrium Y 90 Glass Microspheres|C38679|||Hepatocellular carcinoma, transarterial internal radiation|
Zidovudine|C947|||AIDs-related complex; HIV infection; HIV transmission, prevention|
Zileuton|C26667|||Prevention and Chronic treatment of Asthma|
Zinc Sulfate|C1280|||Common cold, symptoms; Wound healing; Zinc supplement|
Zoledronic Acid|C1699|||Hypercalcemia of malignancy; Multiple myeloma and metastatic bone lesions from solid tumors; Paget's disease|
Zolpidem|C62000|||Insomnia|
