Abdominal sepsis 	C1141926
Ophthalmic surgery 	C1705869
fungi 	C0521033
Eye Infections, Viral 	C0015407
Mycoses 	C0026946
Thyroid associated opthalmopathies 	C0339143
Oral contraception 	C0029151
Organ Transplantation 	C0029216
Orthopedics 	C0029355
Degenerative polyarthritis 	C0029408
Osteochondrosis 	C0029429
Osteomalacia 	C0029442
Vitamin D-resistant osteomalacia 	C2363067
Drugs, Non-Prescription 	C0013231
Other ulcers, wounds and skin problems 	C2708052
Cryptococcal infections 	C0740272
Cryptococcal fungaemia 	C1868808
Yeast infection 	C0750466
Earache 	C0013456
Otitis media bacterial 	C1698510
Otitis externa fungal 	C0948432
Malignant neoplasm of ovary 	C1140680
Ovarian Cysts 	C0029927
Disorder of endocrine ovary 	C0154208
Ovarian failure 	C0747102
Ovarian hyperstimulation 	C0549383
ovarian neoplasm 	C0919267
Oxaluria NEC 	C0342872
Paget Disease 	C1368019
Pancreatic Diseases 	C0030286
Malignant neoplasm of pancreas 	C0346647
Pancreatic Fistula 	C0030290
pancreatic neoplasm 	C0030297
Pancreatitis 	C0030305
Pantothenic acid deficiency 	C0342938
Cutaneous Candidiasis 	C0006846
Papular Lesion 	C0332563
Paralytic Ileus 	C0030446
Parasitic infection 	C0747256
Dermatophytosis 	C0011636
Parkinson Disease 	C0030567
Dyspnea, Paroxysmal 	C0013405
Paroxysmal Tachycardia 	C0039236
Pelvic Inflammatory Disease 	C0242172
Malignant neoplasm of gallbladder 	C0153452
Rhinitis, Allergic, Perennial 	C0035457
Gallbladder Carcinoma 	C0235782
Pericarditis 	C0031046
PERIPHERAL ISCHEMIA 	C0235490
Peripheral block anesthesia 	C0198807
Peripheral Neuropathy 	C0031117
Peripheral Vascular Disorder 	C0085096
ANEMIA PERNICIOUS 	C0002892
Peyronie Disease 	C0030848
Stomach Carcinoma 	C0699791
GASTRIC CANCER allelic variant 	C2697424
Malignant neoplasm of stomach 	C0024623
Pharyngitis bacterial 	C1141882
Chronic pharyngitis 	C0155825
Gastroduodenal 	C0450199
Pharyngitis 	C0031350
Viral pharyngitis 	C0276143
Endocrine Neoplasm 	C0014132
Malignant neoplasm of gastrointestinal tract 	C0685938
Phlebitis 	C0031542
phosphate metabolic process 	C1158883
Pituitary-dependent Cushing's disease 	C0221406
Pituitary Adenoma 	C0032000
Pituitary dwarfism 	C0013338
Gastrointestinal hypomotility 	C0948779
pituitary hormone; deficiency, anterior pituitary, growth hormone 	C1400209
Streptococcal pneumonia 	C0155862
Gastrointestinal Ulcers 	C0237938
Gaucher Disease 	C0017205
Polyarthropathy 	C0702154
Polycystic Ovary Syndrome 	C0032460
Polycythemia Vera 	C0032463
Hereditary Diseases 	C0019247
Urogenital Cancer 	C0751569
Post-traumatic pain 	C1611174
Acute posthaemorrhagic anaemia 	C0154298
Postherpetic neuralgia 	C0032768
Gastroesophageal Reflux 	C0558176
Gestational trophoblastic neoplasms 	C1135868
Post-operative Pain 	C0030201
Laron Syndrome 	C0271568
Infectious Mononucleosis 	C0021345
Glaucoma 	C0017601
Afterbirth pain 	C0848200
Premature Obstetric Labor 	C0022876
Glaucoma Adverse Event 	C1962986
Premenstrual syndrome 	C0033046
Glioblastoma 	C0017636
Adrenal gland hypofunction 	C0001623
hypertension 	C2882073
Other primary hyperaldosteronism 	C2874194
GLIOBLASTOMA allelic variant 	C2700567
Primary Hyperparathyroidism 	C0221002
Primary ovarian failure 	C0271606
Primary pulmonary hypertension 	C0152171
Glioma 	C0017638
Variant Angina 	C0002963
Glioblastoma Multiforme Pathway 	CL421885
Gonorrhea 	C0018081
Gonorrhea 	CL425004
Proctitis 	C0033246
Gout 	C0018099
Productive Cough 	C0239134
Malignant neoplasm of prostate 	C0376358
Operation on prostate 	C0194790
Prostatic Neoplasms 	C0033578
Protein Metabolism Process 	C0597299
Pruritis: [genital] or [vulvae] 	C1542415
Pseudomonas meningitis 	C0338397
Psychiatric 	C0205487
Pulmonary Edema 	C0034063
Pyelonephritis 	C0034186
Growth Disorders 	C0018273
Alveolar pyorrhea 	C0034219
Pyridoxine Deficiency 	C1527330
Raynaud Disease 	C0034734
Female Genital Diseases 	C0017411
Malignant Rectal Neoplasm 	C0949022
disease gynecological 	C1384956
Refractory anemias 	C0002893
Female genital tract problem 	C0262498
Renal anaemia 	C1142276
Hair and hair follicle diseases 	C0554472
Hairy Cell Leukemia 	C0023443
Malignant neoplasm of kidney 	C0740457
hearing impairment 	C1384666
Renal Cell Carcinoma 	C0007134
Renal Colic 	C0152169
Congestive heart failure 	C0018802
Helminthiasis 	C0018889
Renal failure-associated hyperphosphatemia 	C0342656
Renal Osteodystrophy 	C0035086
ANEMIA HEMOLYTIC 	C0002878
Hemophilia, NOS 	C0684275
Hemorrhagic Shock 	C0036982
Kidney Transplantation 	C0022671
Renal tubular acidosis 	C0001126
Hypertension, Renovascular 	C0020545
Respiratory Acidosis 	C0001127
Hemorrhoids Adverse Event 	C1963134
Respiration Disorders 	C0035204
Hemostatic Agents 	C0019120
Respiratory Distress Syndrome 	C1704437
Heparin neutralization 	C0373804
Respiratory syncytial virus 	C0035236
Respiratory tract infection bacterial 	C1261959
Malignant Respiratory Tract Neoplasm 	C0346616
Respiratory tract infection fungal 	C1261958
Respiratory Tract Infections 	C0035243
Hepatitis A 	C0019159
Hepatitis B 	C0019163
Hepatitis C 	C0019196
Viral Respiratory Tract Infection 	C0877203
Hepatocellular Carcinoma 	C0019204
Liver carcinoma 	C2239176
Hepatorenal Syndrome 	C0019212
Dry Orgasm 	C0403673
Herpes 	C0019340
Rheumatic inflammation 	C0333360
Hirsutism 	C0019572
Rheumatism 	C0035435
HIV Lipodystrophy 	C1708272
Rheumatoid Arthritis 	C0003873
HIV-Associated Lipodystrophy Syndrome 	C1136321
Vitamin D-resistant rickets 	C236306
Hodgkin Lymphoma 	CL324512
Salmonella septicemia 	C0152486
Hodgkins Disease 	C0019829
hormone deficiency 	C0599750
Human Papillomavirus 	C0021344
Sarcoidosis 	C0036202
Human Papilloma Virus Infection 	C0343641
Scarlet Fever 	C0036285
Sciatica 	C0036396
Scleritis 	C0036416
Scrotal Carcinoma 	C1370468
Huntington Disease 	C0020179
HYPERAMMONEMIA 	C0220994
Scurvy 	C0036474
Hay fever 	C0018621
Hypereosinophilic syndrome 	C1540912
Secondary hypocortisolism 	C0271738
Idiopathic Hypereosinophilic Syndrome 	C0206141
Hyperhidrosis disorder 	C0020458
Secondary physiologic amenorrhea 	C0232940
secondary; hypertension, due to renal disorders, arterial 	C1400063
Secondary hyperaldosteronism 	C0271728
Hyperparathyroidism, Secondary 	C0020503
secondary hyperparathyroidism due to renal causes 	C2229334
Secondary Hypertension 	C0155616
Secondary pulmonary hypertension 	C0264936
Selenium deficiency 	C0238421
Senile dementia 	C0011268
Sexually Transmitted Diseases 	C0036916
Short stature 	C0349588
Shoulder Pain 	C0037011
Periarthritis of shoulder 	C1306835
Anemia, Sickle Cell 	C0002895
Hyperparathyroidism 	C0020502
HYPERPHOSPHATEMIA 	C0085681
Hyperprolactinemia 	C0020514
Hemoglobin SS disease with crisis 	C0238425
Endemic goiter 	C0018022
Hypertensive disease 	C0020538
Skeletal Muscle Neoplasm 	C1335971
Cutaneous hypersensitivity 	C0585186
Skin & Wound Antiseptic 	C1815321
Skin Diseases, Bacterial 	C0162627
Hypertension Adverse Event 	C1963138
Skin cleansing procedure 	C0455082
Dermatologic disorders 	C0037274
Skin disinfection 	C1698034
Herpes simplex infection of skin 	C0349719 
Skin Infection 	C0037278
Hyperthyroidism 	C0020550
Hyperuricemia 	C0740394
Hypoalbuminemia 	C0239981
Hypogonadism 	C0020619
Hyponatremia 	C0020625
Hypoparathyroidism 	C0020626
Hypotension 	C0020649
Hypotension Adverse Event 	CL364553
Hypothyroidism 	C0020676
Skin Irritation 	C0152030
Protection | Skin 	C2590621 
Skin Transplantation 	C0037297
Sleep Disorders 	C0851578
Infectious Disease Pathway 	CL323798
Infertility 	C0021359
Soft Tissue Infection 	C0149778
Soft tissue inflammation 	C0853314
Inflammation 	C0021368
Influenza 	C0021400
Sleeplessness 	C0917801
Solid Tumor 	C0280100
Spastic bronchitis 	C2363870
Spinal Anesthesia 	C0002928
Spondylarthritis 	C0949690
Spinal Cord Injuries 	C0037929
SPINAL CORD LESION 	C0241224
Spinal Muscular Atrophy 	C0026847
Spinal root pain 	C1142236
Muscle spasticity of spinal origin 	C1562430
Splenic Disorder 	C0037997
Splenitis 	C0272410
Splenomegaly 	C0038002
Spondylarthropathies 	C0949691
Bladder Squamous Cell Carcinoma 	C0279681
Cervical Squamous Cell Carcinoma 	C0279671
Head and Neck Squamous Cell Carcinoma 	C1168401
Oral Cavity Squamous Cell Carcinoma 	C0585362
Squamous cell carcinoma of skin 	C0553723
Stable Angina 	C0340288
Bone Marrow Stem Cell 	C1511246
Stent, device 	C0038257
Intermittent Claudication 	C0021775
Intraepithelial Neoplasia 	C0878500
Ulcerative stomatitis 	C0038367
Iron Overload 	C0282193
Streptococcal meningitis 	C0154639
Stress ulcer 	C2741638
Subacute thyroiditis 	C0040149
Iron Overload Adverse Event 	C1963148
SUBARACHNOID HEMORRHAGE 	C0038525
Deficiency of isomaltase 	C1283620
Superficial keratitis 	C0155074
Ischemia 	C0022116
Chronic Childhood Arthritis 	C0553662
Suprapubic pain 	C0241310
Surgical wound 	C0332803
Systemic mycosis 	C0553576
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma 	C1961099
Tachycardia 	C0039231
Kaposi Sarcoma 	C0036220
Telangiectasis 	C0039446
TENDINITIS 	C0039503
Renal carcinoma 	C1378703
Tenosynovitis 	C0039520
Tenesmus present 	C0423740
Teratoma 	C0039538
Teratoma of testis 	C0238451
Testicular Neoplasms 	C0039590
Cooley's anemia 	C0002875
Thiamine Deficiency 	C0039841
Infective pharyngitis 	C0729771
Nephrolithiasis 	C0392525
Induction of labor procedure 	C0259787
Leishmaniasis 	C0023281
Sore Throat 	C0242429
Throat acute pharyngitis or sore NOS & viral or infection 	C1971657
Thrombocytopenic purpura 	C0857305
Thrombolysis, function 	C0520997
Thrombosis 	C0040053
Thrombotic stroke 	C0242129
Thyroid Gland Atrophy 	C0151516
Leishmaniasis Infection Pathway 	CL422120
Goiter 	C0018021
Leprosy 	C0023343
Thyroid hormone replacement therapy 	C2242640
Thyroiditis 	C0040147
Thyrotoxicosis 	C0040156
Tonsillitis 	C0040425 
Tonsillitis bacterial 	C1696371 
Transdermal contraceptive 	C1456475
Toxic liver disease 	C0348754
Tracheobronchitis 	C0040586
Transient ischemia 	C0022118
leukemia 	C0023418
Transitional cell carcinoma of bladder 	C0279680
leukopenia 	C0023530
Trigeminal Neuralgia 	C0040997
Tryptophan 	C0041249
Tyrosinemias 	C0268483
Li-Fraumeni Syndrome 	C0085390
Ulcer-type pain 	C0522062
Vaginal ulcer 	C0566951
Ulcerative Colitis 	C0009324
Ulcer-like dyspepsia 	C0859968
colitis; ulcerative, proctitis 	C1392803
Lithiasis 	C0023869
Liver neoplasms 	C0023903
Upper respiratory fungal infection 	C0948702
Upper Respiratory Infections 	C0041912
Upper respiratory tract infection & viral NOS 	C2004384
Ureter Neoplasm 	C0041955
Urethral Carcinoma 	C0700101
Liver and Intrahepatic Biliary Tract Carcinoma 	C0279000
Urinary Antiseptics 	C0003426
Bacterial urinary infection 	C0729524
Carcinoma of lung 	C0684249
Lyme Disease 	C0024198
Lymphoma 	C0024299
Lysosomal Storage Disease 	C0085078
Pain in urethra 	C0151830
Urinary tract infection fungal 	C0877131
Urinary Incontinence 	C0042024
urinary; sepsis 	C1408033
Urinary tract infection 	C0042029
Urogenital infection by Trichomonas vaginalis 	C0040928
Welts 	C0221232
Macular retinal edema 	C0271051
Uterine Pain 	C0567085
inflammation; uveal tract 	C1408644
Atrophy of vagina 	C0241616
Vaginal dryness 	C0241633
Malaria 	C0024530
Genital infection fungal 	C0740330
Malaria Pathway 	CL422121
Mastodynia 	C0024902
Breast Pain Adverse Event 	C1963166
Measles 	C0025007
Candidiasis of vagina 	C0006852
Medulloblastoma 	C0025149
MEDULLOBLASTOMA allelic variant 	C2697367
melanoma 	C0025202
Bacterial Vaginosis 	C0085166
Gardnerella vaginalis 	C0017098
Infective vaginitis 	C0404521
Vaginal Yeast Infection 	C0860029
Vaginitis 	C0042267
Female genitalia 	C0017421
melanoma 	CL415152
Vulvovaginal pruritus 	C1112214
Melanoma Pathway 	CL422180
Trichomonas Vaginitis 	C0040923
Menorrhagia 	C0025323
Vaginitis viral 	C1142079
Varicosity 	C0042345
Mesothelioma 	C0025500
Vascular Headache 	C0042376
Vasomotor Rhinitis 	C0035460
Allergy to wasp venom 	C1827129
Allergy to bee venom 	C1828283
Metastasis 	CL001192
Varicose Ulcer 	C0042344
Metastatic Signet Ring Cell Breast Carcinoma 	C1334740
Ventricular arrhythmia 	C0085612
Vernal Conjunctivitis 	C0009773
Virus Diseases 	C0042769
Viral keratitis 	C0847226
Skin Diseases, Viral 	C0162628
Vitamin A Deficiency 	C0042842
Vitamin B Deficiency 	C0042850
Vitamin D Deficiency 	C0042870
Deficiency of vitamin D2 	C1272350
Deficiency of vitamin D3 	C1272352
Vitamin Deficiency 	C1510471
Vitamin E Deficiency 	C0042875
Vitamin K Deficiency 	C0042880
Squamous cell hyperplasia of vulva 	C0349562
Vulval Leukoplakia 	CL414308
Migraine Disorders 	C0149931
Waldenstrom's disease 	C0599055
Excessive tearing 	C0152227
Wernicke Encephalopathy 	C0043121
Mucopolysaccharidoses 	C0026703
Wilms Tumor 	CL343552
Wiskott-Aldrich Syndrome 	C0043194
Wound 	C0043250
Wound Infection 	C0043241
Wound sepsis 	C1141927
Multiple Sclerosis 	C0026769
Mumps 	C0026780
Xanthoma 	C0302314
Xeroderma 	C0043345
Xerophthalmia 	C0043349
Spasm 	C0037763
Zinc deficiency 	C0235950
Muscular Dystrophy 	C0026850
Gram-Negative Bacterial Infections 	C0085423
Musculoskeletal Diseases 	C0026857
Myasthenia Gravis 	C0026896
Mycobacterium Infections 	C0026918
Mycosis Fungoides 	C0026948
Dysmyelopoietic Syndromes 	C0026986
Myelofibrosis 	C0026987
Primary Myelofibrosis 	C0001815
Myocardial Infarction 	C0027051
Benign Muscle Neoplasm 	C0027086
Narcolepsy 	C0027404
Nasal Cavity Polyp 	C0027430
Nausea 	C0027497
Nausea Adverse Event 	C1963179
Neoplasms 	C0027651
Metastatic Malignant Neoplasm to the Leptomeninges 	CL411846
nephrotoxicity 	C0599918
Neuroblastoma 	C0027819
Neuroblastoma 	C0700095
Neuroblastoma 	CL324382
Nerve Degeneration 	C0027746
Malignant neoplasm of central nervous system 	C0348374
depressive neurosis 	C0282126
Depression Adverse Event 	C1999266
Neuropathy 	C0442874
Polyneuropathy 	C0152025
Neurotoxicity Syndrome 	C0235032
Neutropenia 	C0027947
Neutropenia 	C0853697
Niemann-Pick Disease, Type C 	C0220756
Carcinoma, Non-Small-Cell Lung 	C0007131
Lymphoma, Non-Hodgkin 	C0024305
Non-Hodgkin Lymphoma 	CL324559
Non-Small Cell Lung Carcinoma 	C0007131
Vitamins 	C0042890
Obesity 	C0028754
Obesity Adverse Event 	C1963185
Large Body Habitus Artifact 	CL414048
Obsessive-Compulsive Disorder 	C0028768
Obsessive-Compulsive Personality 	C0009595
PANCYTOPENIA AND OCCLUSIVE VASCULAR DISEASE 	C1868652
Osteodystrophy 	C0264009
Osteogenesis Imperfecta 	C0029434
Osteoporosis 	C0029456
Osteoporosis Adverse Event 	C1962963
BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 8 	C2678504
osteosarcoma 	C0029463
Bone Osteosarcoma 	C0585442
OSTEOSARCOMA allelic variant 	C2697383
Cardiovascular 	CL383704
Infection of ear 	C0699744
Overactive Bladder 	C0878773
Pain 	C0030193
Pancreatic carcinoma 	C0235974
PANCREATIC CANCER allelic variant 	C2700565
Pancreatic Cancer Pathway 	CL421859
Pancreatic Insufficiency 	C0030293
Exocrine pancreatic insufficiency 	C0267963
Pancreatitis Adverse Event 	C1963198
Panic Disorder 	C0030319
PANIC DISORDER 1 	C1868649
Malignant tumor of parathyroid gland 	C0153653
Parathyroid Gland Adenocarcinoma 	C0687150
PARKINSON DISEASE allelic variant 	C2681933
Periodontal Diseases 	C0031090
Personality Disorder 	C0031212
Pertussis 	C0043167
Phenylketonurias 	C0031485
PHENYLKETONURIA allelic variant 	C2720373
Pheochromocytoma 	C0031511
PHEOCHROMOCYTOMA allelic variant 	C2697417
Solar elastosis 	C0263415
photosensitivity 	CL423140
Photosensitivity Adverse Event 	C2362621
Photosensitivity of skin 	C0349506
Pigmentation Disorders 	C0549567
Prostatic Intraepithelial Neoplasias 	C0282612
Gigantism 	C0017547
Plague 	C0032064
Pneumonia, Pneumocystis carinii 	C0032305
Paroxysmal nocturnal hemoglobinuria 	C0024790
PIGA gene 	C1418558
Poisoning 	C0032343
poisoning 	C0032344
POLIOMYELITIS 	CL415131
Polymorphic light eruption 	C0031736
Glycogen storage disease type II 	C0017921
GAA gene 	C1414899
Post-Traumatic Stress Disorder 	C0038436
Postmenopausal Hormone Replacement Therapy 	C0019930
Postoperative ileus 	C0400877
Postoperative adhesion 	C0001510
Pouchitis 	C0376620
Precocious Puberty 	C0034013
Pre-Eclampsia 	C0032914
Preeclampsia 	CL413025
Premature Ejaculation 	C0033038
Primary immune deficiency disorder 	C0398686
Spongiform Encephalopathy 	C0162534
Prion Disease Pathway 	CL329956
Prostate carcinoma 	C0600139
Prostate Cancer Pathway 	CL421910
prostatitis 	C0033581
Psoriasis 	C0033860
Psoriatic Arthritis 	C0003872
Act Code - Psychiatric 	C1561580
Psychotic Disorders 	C0033975
Post-transplant lymphoproliferative disorder 	C0432487
Pulmonary Embolism 	C0034065
Pulmonary Fibrosis 	C0034069
Pulmonary Hypertension 	C0020542
Pulmonary Hypertension Adverse Event 	C1963220
Rabies 	C0034494
Radiation Sickness 	C1510432
Peptic Esophagitis 	C0014869
Renal Cell Carcinoma Pathway 	CL422125
Renal disease with edema NOS 	C0866125
Reperfusion Injury 	C0035126
Lung diseases 	C0024115
Restenosis 	C0333186
Restless Legs Syndrome 	C0035258
Retinoblastoma 	C0035335
RB1 gene 	C0694889
Retinopathy 	CL365148
Retinopathy Adverse Event 	C1962966
RHEUMATOID ARTHRITIS allelic variant 	C2697391
Disease due to Rhinovirus 	C0276447
Rickets 	C0035579
Rift Valley Fever 	C0035613
rosacea 	C0035854
Rosacea 	C1656583
Rotavirus Infections 	C0035869
Rubella 	C0035920
Severe Acute Respiratory Syndrome 	C1175175
Scar conditions and fibrosis of skin 	C0036278
Schistosomiasis 	C0036323
Schizophrenia 	C0036341
Scleroderma 	C0011644
Scleroderma 	C1027109
Genus Scleroderma 	C0323390
Sclerosis 	C0036429
Septicemia 	C0036690
Septic Shock 	C0036983
Sexual Dysfunction 	C0549622
Psychosexual Disorders 	C0033953
SICKLE CELL ANEMIA allelic variant 	C2700574
Malignant neoplasm of skin 	C0007114
Skin carcinoma 	C0699893
Skin Ulcer 	C0037299
Sleep Apnea Syndromes 	C0037315
Small cell carcinoma of lung 	C0149925
Small Cell Lung Cancer Pathway 	CL422143
Smallpox 	C0037354
Social Phobia 	C0031572
Soft Tissue Sarcoma 	CL353068
sarcoma 	C1261473
Solar Radiation Toxicity 	C1710121
Solar urticaria 	C0263610
squamous cell carcinoma of male genitalia 	C2019441
Squamous cell carcinoma 	C0007137
Stuttering 	C0038506
surgery 	C0038895
Surgery 	C0038894
Operative Surgical Procedures 	C0543467
surgery 	C1457907
Lupus Erythematosus, Systemic 	C0024141
Systemic Lupus Erythematosus Pathway 	CL421905
Mastocytosis, Systemic 	C0221013
Tay-Sachs Disease 	C0039373
Leukemia, T-Cell 	C0023492
T-Cell Lymphoma 	C0079772
Malignant neoplasm of testis 	C0153594
Malignant Testicular Germ Cell Tumor 	C0855197
Tetanus 	C0039614
Thalassemia 	C0039730
Thrombocytosis 	C0836924
Thrombocytopenia 	C0040034
Malignant neoplasm of thyroid 	C0007115
Thyroid carcinoma 	C0549473
Papillary Thyroid Carcinoma Pathway 	CL421898
Thyroid Diseases 	C0040128
Tinnitus 	C0040264
Tinnitus, Pulsatile 	C0751559
Tinnitus Adverse Event 	C1963249
Toxoplasmosis 	C0040558
Graft Rejection 	C0018129
Wounds and Injuries 	C0043251
Injury 	C0175677
injuries 	C1510467
Tremor 	C0040822
Trypanosomiasis 	C0041227
Tuberculosis 	C0041296
Tuberous Sclerosis 	C0041341
Tularemia 	C0041351
Turner Syndrome 	C0041408
Typhoid Fever 	C0041466
Ulcerative calcitis 	C0302596
Urethritis 	C0041976
Incontinence 	C0021167
Urinary Incontinence Adverse Event 	C1962973
Urinary Retention 	C0080274
Urologic Diseases 	C0042075
Uterine Cancer 	C0153567
Uveitis 	C0042164
Vagina Carcinoma 	C0262659
Chickenpox 	C0008049
Human herpesvirus 3 	C0042338
Capillary Leak Syndrome 	C0343084
Vertigo 	C0042571
Vertigo 	C1069915
Vertigo as late effect of cerebrovascular disease 	C1135208
Vulval intraepithelial neoplasia 	C0346210
West Nile virus 	C0043125
West Nile viral infection 	C1096184
West Nile Virus Pathway 	C1704408
Hepatolenticular Degeneration 	C0019202
ATP7B gene 	C1412689
Specimen Type - Wound 	C1550680
Xerostomia 	C0043352
Disorder of zinc metabolism 	C0268085
Zollinger-Ellison syndrome 	C0043515
